INFO Resuming: 3 samples already recorded in qwen2.5vl_7b_test.jsonl
INFO Model=qwen2.5vl:7b split=test size=224 | 156 samples (153 remaining)
INFO   [ 44/156] gold=BENIGN    pred=BENIGN    p_mal=0.021   9.3s | ETA 16 min
INFO   [ 45/156] gold=MALIGNANT pred=BENIGN    p_mal=0.116   8.9s | ETA 16 min
INFO   [ 46/156] gold=MALIGNANT pred=BENIGN    p_mal=0.178   9.8s | ETA 16 min
INFO   [ 47/156] gold=BENIGN    pred=BENIGN    p_mal=0.041   9.3s | ETA 16 min
INFO   [ 48/156] gold=BENIGN    pred=BENIGN    p_mal=0.029   9.2s | ETA 16 min
INFO   [ 49/156] gold=MALIGNANT pred=BENIGN    p_mal=0.032   9.8s | ETA 16 min
INFO   [ 50/156] gold=BENIGN    pred=BENIGN    p_mal=0.023   9.3s | ETA 15 min
INFO   [ 51/156] gold=BENIGN    pred=BENIGN    p_mal=0.032   8.7s | ETA 15 min
INFO   [ 52/156] gold=BENIGN    pred=BENIGN    p_mal=0.015   9.8s | ETA 15 min
INFO   [ 53/156] gold=BENIGN    pred=BENIGN    p_mal=0.058  10.5s | ETA 15 min
INFO   [ 54/156] gold=BENIGN    pred=BENIGN    p_mal=0.023   9.5s | ETA 15 min
INFO   [ 55/156] gold=BENIGN    pred=BENIGN    p_mal=0.080   9.6s | ETA 15 min
INFO   [ 56/156] gold=MALIGNANT pred=BENIGN    p_mal=0.023  10.5s | ETA 15 min
INFO   [ 57/156] gold=BENIGN    pred=BENIGN    p_mal=0.038   9.3s | ETA 15 min
INFO   [ 58/156] gold=BENIGN    pred=BENIGN    p_mal=0.040  10.0s | ETA 14 min
INFO   [ 59/156] gold=MALIGNANT pred=BENIGN    p_mal=0.066  10.3s | ETA 14 min
INFO   [ 60/156] gold=BENIGN    pred=BENIGN    p_mal=0.035   9.2s | ETA 14 min
INFO   [ 61/156] gold=BENIGN    pred=BENIGN    p_mal=0.056   9.4s | ETA 14 min
INFO   [ 62/156] gold=BENIGN    pred=BENIGN    p_mal=0.027  10.5s | ETA 14 min
INFO   [ 63/156] gold=BENIGN    pred=BENIGN    p_mal=0.022   9.1s | ETA 14 min
INFO   [ 64/156] gold=BENIGN    pred=BENIGN    p_mal=0.109   9.5s | ETA 14 min
INFO   [ 65/156] gold=BENIGN    pred=BENIGN    p_mal=0.084   9.8s | ETA 14 min
INFO   [ 66/156] gold=BENIGN    pred=BENIGN    p_mal=0.090   9.7s | ETA 13 min
INFO   [ 67/156] gold=BENIGN    pred=BENIGN    p_mal=0.122   9.2s | ETA 13 min
INFO   [ 68/156] gold=BENIGN    pred=BENIGN    p_mal=0.060  10.5s | ETA 13 min
INFO   [ 69/156] gold=MALIGNANT pred=BENIGN    p_mal=0.057   9.8s | ETA 13 min
INFO   [ 70/156] gold=BENIGN    pred=BENIGN    p_mal=0.108   9.7s | ETA 13 min
INFO   [ 71/156] gold=BENIGN    pred=BENIGN    p_mal=0.033  10.6s | ETA 13 min
INFO   [ 72/156] gold=BENIGN    pred=BENIGN    p_mal=0.019  10.1s | ETA 13 min
INFO   [ 73/156] gold=BENIGN    pred=BENIGN    p_mal=0.021   9.6s | ETA 13 min
INFO   [ 74/156] gold=BENIGN    pred=BENIGN    p_mal=0.041  10.5s | ETA 12 min
INFO   [ 75/156] gold=BENIGN    pred=BENIGN    p_mal=0.081   9.5s | ETA 12 min
INFO   [ 76/156] gold=BENIGN    pred=BENIGN    p_mal=0.059   9.4s | ETA 12 min
INFO   [ 77/156] gold=BENIGN    pred=BENIGN    p_mal=0.099  10.3s | ETA 12 min
INFO   [ 78/156] gold=MALIGNANT pred=BENIGN    p_mal=0.044   9.5s | ETA 12 min
INFO   [ 79/156] gold=BENIGN    pred=BENIGN    p_mal=0.114   9.5s | ETA 12 min
INFO   [ 80/156] gold=BENIGN    pred=BENIGN    p_mal=0.031  10.4s | ETA 12 min
INFO   [ 81/156] gold=BENIGN    pred=BENIGN    p_mal=0.035   9.6s | ETA 11 min
INFO   [ 82/156] gold=BENIGN    pred=BENIGN    p_mal=0.033   9.5s | ETA 11 min
INFO   [ 83/156] gold=BENIGN    pred=BENIGN    p_mal=0.036  10.4s | ETA 11 min
INFO   [ 84/156] gold=BENIGN    pred=BENIGN    p_mal=0.058   9.8s | ETA 11 min
INFO   [ 85/156] gold=BENIGN    pred=BENIGN    p_mal=0.115   9.5s | ETA 11 min
INFO   [ 86/156] gold=MALIGNANT pred=BENIGN    p_mal=0.050  10.7s | ETA 11 min
INFO   [ 87/156] gold=BENIGN    pred=BENIGN    p_mal=0.022   9.6s | ETA 11 min
INFO   [ 88/156] gold=BENIGN    pred=BENIGN    p_mal=0.033   9.6s | ETA 10 min
INFO   [ 89/156] gold=BENIGN    pred=BENIGN    p_mal=0.089  10.5s | ETA 10 min
INFO   [ 90/156] gold=BENIGN    pred=BENIGN    p_mal=0.054   9.7s | ETA 10 min
INFO   [ 91/156] gold=BENIGN    pred=BENIGN    p_mal=0.097   9.8s | ETA 10 min
INFO   [ 92/156] gold=BENIGN    pred=BENIGN    p_mal=0.042  10.6s | ETA 10 min
INFO   [ 93/156] gold=BENIGN    pred=BENIGN    p_mal=0.056   9.7s | ETA 10 min
INFO   [ 94/156] gold=BENIGN    pred=BENIGN    p_mal=0.020   9.8s | ETA 10 min
INFO   [ 95/156] gold=BENIGN    pred=BENIGN    p_mal=0.035  10.6s | ETA 9 min
INFO   [ 96/156] gold=MALIGNANT pred=BENIGN    p_mal=0.185   9.5s | ETA 9 min
INFO   [ 97/156] gold=BENIGN    pred=BENIGN    p_mal=0.029   9.8s | ETA 9 min
INFO   [ 98/156] gold=BENIGN    pred=BENIGN    p_mal=0.006  10.8s | ETA 9 min
INFO   [ 99/156] gold=BENIGN    pred=BENIGN    p_mal=0.065   9.5s | ETA 9 min
INFO   [100/156] gold=BENIGN    pred=BENIGN    p_mal=0.131   9.4s | ETA 9 min
INFO   [101/156] gold=BENIGN    pred=BENIGN    p_mal=0.068   9.6s | ETA 9 min
INFO   [102/156] gold=BENIGN    pred=BENIGN    p_mal=0.035   9.9s | ETA 8 min
INFO   [103/156] gold=BENIGN    pred=BENIGN    p_mal=0.047   9.5s | ETA 8 min
INFO   [104/156] gold=BENIGN    pred=BENIGN    p_mal=0.112  10.7s | ETA 8 min
INFO   [105/156] gold=MALIGNANT pred=BENIGN    p_mal=0.125  10.0s | ETA 8 min
INFO   [106/156] gold=BENIGN    pred=BENIGN    p_mal=0.108   9.3s | ETA 8 min
INFO   [107/156] gold=MALIGNANT pred=BENIGN    p_mal=0.060  10.4s | ETA 8 min
INFO   [108/156] gold=MALIGNANT pred=BENIGN    p_mal=0.054   9.8s | ETA 7 min
INFO   [109/156] gold=BENIGN    pred=BENIGN    p_mal=0.035   9.4s | ETA 7 min
INFO   [110/156] gold=BENIGN    pred=BENIGN    p_mal=0.058  10.7s | ETA 7 min
INFO   [111/156] gold=MALIGNANT pred=BENIGN    p_mal=0.234   9.8s | ETA 7 min
INFO   [112/156] gold=BENIGN    pred=BENIGN    p_mal=0.018   9.5s | ETA 7 min
INFO   [113/156] gold=MALIGNANT pred=BENIGN    p_mal=0.066  10.8s | ETA 7 min
INFO   [114/156] gold=BENIGN    pred=BENIGN    p_mal=0.100   9.9s | ETA 7 min
INFO   [115/156] gold=MALIGNANT pred=BENIGN    p_mal=0.022   9.5s | ETA 6 min
INFO   [116/156] gold=BENIGN    pred=BENIGN    p_mal=0.147  10.5s | ETA 6 min
INFO   [117/156] gold=BENIGN    pred=BENIGN    p_mal=0.035  10.0s | ETA 6 min
INFO   [118/156] gold=BENIGN    pred=BENIGN    p_mal=0.131   9.7s | ETA 6 min
INFO   [119/156] gold=BENIGN    pred=BENIGN    p_mal=0.118  10.7s | ETA 6 min
INFO   [120/156] gold=MALIGNANT pred=BENIGN    p_mal=0.013   9.7s | ETA 6 min
INFO   [121/156] gold=MALIGNANT pred=BENIGN    p_mal=0.059   9.8s | ETA 5 min
INFO   [122/156] gold=BENIGN    pred=BENIGN    p_mal=0.069  10.8s | ETA 5 min
INFO   [123/156] gold=BENIGN    pred=BENIGN    p_mal=0.048   9.7s | ETA 5 min
INFO   [124/156] gold=MALIGNANT pred=BENIGN    p_mal=0.007   9.8s | ETA 5 min
INFO   [125/156] gold=BENIGN    pred=BENIGN    p_mal=0.066  10.8s | ETA 5 min
INFO   [126/156] gold=BENIGN    pred=BENIGN    p_mal=0.025   9.4s | ETA 5 min
INFO   [127/156] gold=MALIGNANT pred=BENIGN    p_mal=0.036   9.8s | ETA 5 min
INFO   [128/156] gold=MALIGNANT pred=BENIGN    p_mal=0.072  10.7s | ETA 4 min
INFO   [129/156] gold=MALIGNANT pred=BENIGN    p_mal=0.137   9.6s | ETA 4 min
INFO   [130/156] gold=BENIGN    pred=BENIGN    p_mal=0.005   9.9s | ETA 4 min
INFO   [131/156] gold=BENIGN    pred=BENIGN    p_mal=0.072  10.7s | ETA 4 min
INFO   [132/156] gold=BENIGN    pred=BENIGN    p_mal=0.025   9.4s | ETA 4 min
INFO   [133/156] gold=MALIGNANT pred=BENIGN    p_mal=0.052   9.5s | ETA 4 min
INFO   [134/156] gold=BENIGN    pred=BENIGN    p_mal=0.042  10.5s | ETA 3 min
INFO   [135/156] gold=BENIGN    pred=BENIGN    p_mal=0.145   9.7s | ETA 3 min
INFO   [136/156] gold=MALIGNANT pred=BENIGN    p_mal=0.112   9.4s | ETA 3 min
INFO   [137/156] gold=BENIGN    pred=BENIGN    p_mal=0.058  10.3s | ETA 3 min
INFO   [138/156] gold=BENIGN    pred=BENIGN    p_mal=0.059   9.9s | ETA 3 min
INFO   [139/156] gold=MALIGNANT pred=BENIGN    p_mal=0.106   9.7s | ETA 3 min
INFO   [140/156] gold=BENIGN    pred=BENIGN    p_mal=0.070  10.7s | ETA 3 min
INFO   [141/156] gold=BENIGN    pred=BENIGN    p_mal=0.035   9.9s | ETA 2 min
INFO   [142/156] gold=MALIGNANT pred=BENIGN    p_mal=0.062   9.6s | ETA 2 min
INFO   [143/156] gold=BENIGN    pred=BENIGN    p_mal=0.009  10.8s | ETA 2 min
INFO   [144/156] gold=BENIGN    pred=BENIGN    p_mal=0.013   9.7s | ETA 2 min
INFO   [145/156] gold=BENIGN    pred=BENIGN    p_mal=0.116   9.6s | ETA 2 min
INFO   [146/156] gold=BENIGN    pred=BENIGN    p_mal=0.047  10.8s | ETA 2 min
INFO   [147/156] gold=BENIGN    pred=BENIGN    p_mal=0.046   9.7s | ETA 1 min
INFO   [148/156] gold=BENIGN    pred=BENIGN    p_mal=0.076   9.1s | ETA 1 min
INFO   [149/156] gold=BENIGN    pred=BENIGN    p_mal=0.011  10.0s | ETA 1 min
INFO   [150/156] gold=BENIGN    pred=BENIGN    p_mal=0.059   9.3s | ETA 1 min
INFO   [151/156] gold=MALIGNANT pred=BENIGN    p_mal=0.146   9.0s | ETA 1 min
INFO   [152/156] gold=BENIGN    pred=BENIGN    p_mal=0.067   9.9s | ETA 1 min
INFO   [153/156] gold=BENIGN    pred=BENIGN    p_mal=0.028   9.3s | ETA 0 min
INFO   [154/156] gold=MALIGNANT pred=BENIGN    p_mal=0.034   8.8s | ETA 0 min
INFO   [155/156] gold=BENIGN    pred=BENIGN    p_mal=0.106  10.2s | ETA 0 min
INFO   [156/156] gold=BENIGN    pred=BENIGN    p_mal=0.034   9.1s | ETA 0 min
INFO Done in 24.7 min -> /home/rafael/ICL/MSc/Thesis/Code/project/experiments/01_zeroshot_vlm_classification/results/qwen2.5vl_7b_test.jsonl
