INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=14/36 | 52 samples
INFO   [  1/ 52] 0014 gold=BENIGN    | 20 claims  6 mal | 11 disagree  1 agree | 37s | ETA 0.5h
INFO   [ 16/ 52] 0554 gold=BENIGN    | 20 claims 11 mal | 10 disagree  2 agree | 37s | ETA 0.4h
INFO   [ 17/ 52] 0590 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 36s | ETA 0.4h
INFO   [ 18/ 52] 0626 gold=MALIGNANT | 18 claims 11 mal | 12 disagree  0 agree | 35s | ETA 0.4h
INFO   [ 19/ 52] 0662 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 35s | ETA 0.3h
INFO   [ 20/ 52] 0698 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 36s | ETA 0.3h
INFO   [ 21/ 52] 0734 gold=MALIGNANT | 20 claims  9 mal | 11 disagree  1 agree | 35s | ETA 0.3h
INFO   [ 22/ 52] 0770 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 37s | ETA 0.3h
INFO   [ 23/ 52] 0806 gold=MALIGNANT | 19 claims 12 mal | 12 disagree  0 agree | 35s | ETA 0.3h
INFO   [ 24/ 52] 0842 gold=MALIGNANT | 19 claims 10 mal | 12 disagree  0 agree | 35s | ETA 0.3h
INFO   [ 25/ 52] 0878 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 35s | ETA 0.3h
INFO   [ 26/ 52] 0914 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 37s | ETA 0.3h
INFO   [ 27/ 52] 0950 gold=BENIGN    | 20 claims 14 mal | 10 disagree  2 agree | 36s | ETA 0.3h
INFO   [ 28/ 52] 0986 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 36s | ETA 0.2h
INFO   [ 29/ 52] 1022 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 36s | ETA 0.2h
INFO   [ 30/ 52] 1058 gold=BENIGN    | 16 claims  8 mal |  8 disagree  0 agree | 33s | ETA 0.2h
INFO   [ 31/ 52] 1094 gold=MALIGNANT | 20 claims 11 mal | 12 disagree  0 agree | 36s | ETA 0.2h
INFO   [ 32/ 52] 1130 gold=MALIGNANT | 20 claims 12 mal |  8 disagree  4 agree | 36s | ETA 0.2h
INFO   [ 33/ 52] 1166 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 36s | ETA 0.2h
INFO   [ 34/ 52] 1202 gold=MALIGNANT | 20 claims 14 mal | 11 disagree  1 agree | 35s | ETA 0.2h
INFO   [ 35/ 52] 1238 gold=BENIGN    | 20 claims 14 mal |  7 disagree  5 agree | 36s | ETA 0.2h
INFO   [ 36/ 52] 1274 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 38s | ETA 0.2h
INFO   [ 37/ 52] 1310 gold=BENIGN    | 20 claims 12 mal | 11 disagree  1 agree | 37s | ETA 0.2h
INFO   [ 38/ 52] 1346 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 35s | ETA 0.1h
INFO   [ 39/ 52] 1382 gold=BENIGN    | 20 claims 10 mal |  4 disagree  8 agree | 36s | ETA 0.1h
INFO   [ 40/ 52] 1418 gold=BENIGN    | 20 claims 10 mal |  9 disagree  3 agree | 36s | ETA 0.1h
INFO   [ 41/ 52] 1454 gold=BENIGN    | 20 claims 13 mal | 10 disagree  2 agree | 37s | ETA 0.1h
INFO   [ 42/ 52] 1490 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 36s | ETA 0.1h
INFO   [ 43/ 52] 1526 gold=BENIGN    | 20 claims 12 mal | 11 disagree  1 agree | 36s | ETA 0.1h
INFO   [ 44/ 52] 1562 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 35s | ETA 0.1h
INFO   [ 45/ 52] 1598 gold=BENIGN    | 19 claims 16 mal |  8 disagree  4 agree | 36s | ETA 0.1h
INFO   [ 46/ 52] 1634 gold=MALIGNANT | 19 claims 11 mal | 12 disagree  0 agree | 36s | ETA 0.1h
INFO   [ 47/ 52] 1670 gold=BENIGN    | 20 claims 15 mal | 11 disagree  1 agree | 35s | ETA 0.1h
WARNING turn agent_1 r0 failed: HTTP Error 500: Internal Server Error
INFO   [ 48/ 52] 1706 gold=BENIGN    | 15 claims  8 mal | 11 disagree  1 agree | 80s | ETA 0.0h
INFO   [ 49/ 52] 1742 gold=BENIGN    | 19 claims 10 mal | 11 disagree  1 agree | 35s | ETA 0.0h
INFO   [ 50/ 52] 1778 gold=BENIGN    | 18 claims 12 mal |  9 disagree  1 agree | 35s | ETA 0.0h
INFO   [ 51/ 52] 1814 gold=MALIGNANT | 18 claims 14 mal |  8 disagree  4 agree | 35s | ETA 0.0h
INFO   [ 52/ 52] 1850 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 36s | ETA 0.0h
INFO Done in 32.3 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
