INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=28/36 | 52 samples
INFO   [  1/ 52] 0028 gold=MALIGNANT | 20 claims 10 mal | 11 disagree  1 agree | 37s | ETA 0.5h
INFO   [ 18/ 52] 0640 gold=BENIGN    | 20 claims 12 mal |  6 disagree  6 agree | 36s | ETA 0.3h
INFO   [ 19/ 52] 0676 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 35s | ETA 0.3h
INFO   [ 20/ 52] 0712 gold=BENIGN    | 19 claims 10 mal | 11 disagree  1 agree | 37s | ETA 0.3h
INFO   [ 21/ 52] 0748 gold=MALIGNANT | 20 claims  4 mal |  5 disagree  7 agree | 36s | ETA 0.3h
INFO   [ 22/ 52] 0784 gold=BENIGN    | 19 claims  8 mal |  8 disagree  4 agree | 35s | ETA 0.3h
INFO   [ 23/ 52] 0820 gold=BENIGN    | 20 claims 10 mal |  9 disagree  3 agree | 36s | ETA 0.3h
INFO   [ 24/ 52] 0856 gold=MALIGNANT | 20 claims 16 mal | 10 disagree  2 agree | 37s | ETA 0.3h
INFO   [ 25/ 52] 0892 gold=BENIGN    | 20 claims 15 mal | 12 disagree  0 agree | 36s | ETA 0.3h
INFO   [ 26/ 52] 0928 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 41s | ETA 0.3h
INFO   [ 27/ 52] 0964 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 37s | ETA 0.3h
INFO   [ 28/ 52] 1000 gold=BENIGN    | 20 claims 11 mal | 10 disagree  2 agree | 35s | ETA 0.2h
INFO   [ 29/ 52] 1036 gold=MALIGNANT | 19 claims 14 mal | 11 disagree  1 agree | 36s | ETA 0.2h
INFO   [ 30/ 52] 1072 gold=BENIGN    | 19 claims  9 mal | 10 disagree  2 agree | 36s | ETA 0.2h
INFO   [ 31/ 52] 1108 gold=BENIGN    | 20 claims  6 mal |  8 disagree  4 agree | 37s | ETA 0.2h
INFO   [ 32/ 52] 1144 gold=BENIGN    | 19 claims 13 mal | 10 disagree  2 agree | 37s | ETA 0.2h
INFO   [ 33/ 52] 1180 gold=BENIGN    | 20 claims 13 mal | 11 disagree  1 agree | 36s | ETA 0.2h
INFO   [ 34/ 52] 1216 gold=BENIGN    | 19 claims 15 mal | 11 disagree  1 agree | 39s | ETA 0.2h
INFO   [ 35/ 52] 1252 gold=BENIGN    | 20 claims 12 mal |  6 disagree  6 agree | 37s | ETA 0.2h
INFO   [ 36/ 52] 1288 gold=MALIGNANT | 17 claims 12 mal |  8 disagree  1 agree | 35s | ETA 0.2h
INFO   [ 37/ 52] 1324 gold=MALIGNANT | 20 claims 12 mal |  9 disagree  3 agree | 37s | ETA 0.2h
INFO   [ 38/ 52] 1360 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 35s | ETA 0.1h
INFO   [ 39/ 52] 1396 gold=BENIGN    | 20 claims  8 mal | 11 disagree  1 agree | 36s | ETA 0.1h
INFO   [ 40/ 52] 1432 gold=BENIGN    | 20 claims 11 mal | 10 disagree  2 agree | 38s | ETA 0.1h
INFO   [ 41/ 52] 1468 gold=BENIGN    | 19 claims  7 mal | 10 disagree  2 agree | 37s | ETA 0.1h
INFO   [ 42/ 52] 1504 gold=BENIGN    | 19 claims 10 mal | 11 disagree  1 agree | 35s | ETA 0.1h
INFO   [ 43/ 52] 1540 gold=BENIGN    | 20 claims 11 mal | 10 disagree  2 agree | 36s | ETA 0.1h
INFO   [ 44/ 52] 1576 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 36s | ETA 0.1h
INFO   [ 45/ 52] 1612 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 35s | ETA 0.1h
INFO   [ 46/ 52] 1648 gold=MALIGNANT | 19 claims 12 mal |  9 disagree  3 agree | 36s | ETA 0.1h
INFO   [ 47/ 52] 1684 gold=BENIGN    | 20 claims  6 mal |  9 disagree  3 agree | 36s | ETA 0.1h
INFO   [ 48/ 52] 1720 gold=MALIGNANT | 20 claims 10 mal | 11 disagree  1 agree | 36s | ETA 0.0h
INFO   [ 49/ 52] 1756 gold=BENIGN    | 18 claims  8 mal | 12 disagree  0 agree | 35s | ETA 0.0h
INFO   [ 50/ 52] 1792 gold=MALIGNANT | 20 claims 12 mal | 10 disagree  2 agree | 35s | ETA 0.0h
INFO   [ 51/ 52] 1828 gold=MALIGNANT | 18 claims 11 mal | 12 disagree  0 agree | 34s | ETA 0.0h
INFO   [ 52/ 52] 1864 gold=BENIGN    | 20 claims 11 mal |  9 disagree  3 agree | 36s | ETA 0.0h
INFO Done in 31.3 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
