INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=24/36 | 52 samples
INFO   [  1/ 52] 0024 gold=BENIGN    | 20 claims 14 mal |  6 disagree  6 agree | 27s | ETA 0.4h
INFO   [ 36/ 52] 1284 gold=BENIGN    | 18 claims  9 mal | 10 disagree  2 agree | 26s | ETA 0.1h
INFO   [ 37/ 52] 1320 gold=BENIGN    | 19 claims 11 mal |  8 disagree  4 agree | 27s | ETA 0.1h
INFO   [ 38/ 52] 1356 gold=BENIGN    | 19 claims  7 mal | 12 disagree  0 agree | 26s | ETA 0.1h
INFO   [ 39/ 52] 1392 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 25s | ETA 0.1h
INFO   [ 40/ 52] 1428 gold=BENIGN    | 20 claims 12 mal |  9 disagree  3 agree | 27s | ETA 0.1h
INFO   [ 41/ 52] 1464 gold=MALIGNANT | 20 claims 11 mal | 11 disagree  1 agree | 27s | ETA 0.1h
INFO   [ 42/ 52] 1500 gold=BENIGN    | 20 claims  5 mal |  9 disagree  3 agree | 27s | ETA 0.1h
INFO   [ 43/ 52] 1536 gold=BENIGN    | 18 claims 10 mal | 11 disagree  1 agree | 26s | ETA 0.1h
INFO   [ 44/ 52] 1572 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 27s | ETA 0.1h
INFO   [ 45/ 52] 1608 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 27s | ETA 0.1h
INFO   [ 46/ 52] 1644 gold=MALIGNANT | 19 claims  9 mal | 11 disagree  1 agree | 26s | ETA 0.0h
INFO   [ 47/ 52] 1680 gold=BENIGN    | 20 claims 10 mal |  9 disagree  3 agree | 28s | ETA 0.0h
INFO   [ 48/ 52] 1716 gold=MALIGNANT | 20 claims 13 mal |  9 disagree  3 agree | 26s | ETA 0.0h
INFO   [ 49/ 52] 1752 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 25s | ETA 0.0h
INFO   [ 50/ 52] 1788 gold=BENIGN    | 19 claims 11 mal |  6 disagree  6 agree | 26s | ETA 0.0h
INFO   [ 51/ 52] 1824 gold=BENIGN    | 19 claims 13 mal |  9 disagree  3 agree | 25s | ETA 0.0h
INFO   [ 52/ 52] 1860 gold=MALIGNANT | 20 claims 14 mal | 10 disagree  2 agree | 27s | ETA 0.0h
INFO Done in 22.9 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
