INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=13/36 | 52 samples
INFO   [  1/ 52] 0013 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 40/ 52] 1417 gold=BENIGN    | 20 claims  6 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 41/ 52] 1453 gold=BENIGN    | 19 claims  9 mal | 11 disagree  1 agree | 15s | ETA 0.0h
INFO   [ 42/ 52] 1489 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 43/ 52] 1525 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 16s | ETA 0.0h
INFO   [ 44/ 52] 1561 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 16s | ETA 0.0h
INFO   [ 45/ 52] 1597 gold=BENIGN    | 18 claims  7 mal | 10 disagree  1 agree | 15s | ETA 0.0h
INFO   [ 46/ 52] 1633 gold=MALIGNANT | 19 claims  9 mal | 11 disagree  1 agree | 15s | ETA 0.0h
INFO   [ 47/ 52] 1669 gold=BENIGN    | 18 claims 12 mal | 12 disagree  0 agree | 15s | ETA 0.0h
INFO   [ 48/ 52] 1705 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 15s | ETA 0.0h
INFO   [ 49/ 52] 1741 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 15s | ETA 0.0h
INFO   [ 50/ 52] 1777 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 51/ 52] 1813 gold=MALIGNANT | 20 claims 13 mal | 11 disagree  1 agree | 16s | ETA 0.0h
INFO   [ 52/ 52] 1849 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 16s | ETA 0.0h
INFO Done in 13.7 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
