INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=23/36 | 52 samples
INFO   [  1/ 52] 0023 gold=BENIGN    | 20 claims  8 mal |  9 disagree  3 agree | 15s | ETA 0.2h
INFO   [ 18/ 52] 0635 gold=BENIGN    | 17 claims  4 mal |  7 disagree  2 agree | 14s | ETA 0.1h
INFO   [ 19/ 52] 0671 gold=MALIGNANT | 20 claims 10 mal | 10 disagree  2 agree | 16s | ETA 0.1h
INFO   [ 20/ 52] 0707 gold=MALIGNANT | 20 claims 13 mal |  7 disagree  5 agree | 16s | ETA 0.1h
INFO   [ 21/ 52] 0743 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 15s | ETA 0.1h
INFO   [ 22/ 52] 0779 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 23/ 52] 0815 gold=BENIGN    | 20 claims  7 mal |  8 disagree  4 agree | 16s | ETA 0.1h
INFO   [ 24/ 52] 0851 gold=MALIGNANT | 20 claims 14 mal |  7 disagree  5 agree | 16s | ETA 0.1h
INFO   [ 25/ 52] 0887 gold=BENIGN    | 19 claims  9 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 26/ 52] 0923 gold=MALIGNANT | 20 claims  9 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 27/ 52] 0959 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 15s | ETA 0.1h
INFO   [ 28/ 52] 0995 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 29/ 52] 1031 gold=BENIGN    | 20 claims 14 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 30/ 52] 1067 gold=BENIGN    | 20 claims 12 mal | 11 disagree  1 agree | 17s | ETA 0.1h
INFO   [ 31/ 52] 1103 gold=BENIGN    | 19 claims  6 mal |  9 disagree  3 agree | 15s | ETA 0.1h
INFO   [ 32/ 52] 1139 gold=BENIGN    | 19 claims  7 mal | 11 disagree  1 agree | 15s | ETA 0.1h
INFO   [ 33/ 52] 1175 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 15s | ETA 0.1h
INFO   [ 34/ 52] 1211 gold=BENIGN    | 20 claims 13 mal | 11 disagree  1 agree | 15s | ETA 0.1h
INFO   [ 35/ 52] 1247 gold=BENIGN    | 19 claims  9 mal | 11 disagree  1 agree | 15s | ETA 0.1h
INFO   [ 36/ 52] 1283 gold=BENIGN    | 19 claims 11 mal |  9 disagree  3 agree | 16s | ETA 0.1h
INFO   [ 37/ 52] 1319 gold=BENIGN    | 20 claims  7 mal |  7 disagree  5 agree | 16s | ETA 0.1h
INFO   [ 38/ 52] 1355 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 39/ 52] 1391 gold=BENIGN    | 19 claims  7 mal | 10 disagree  2 agree | 15s | ETA 0.1h
INFO   [ 40/ 52] 1427 gold=MALIGNANT | 20 claims  8 mal | 12 disagree  0 agree | 15s | ETA 0.1h
INFO   [ 41/ 52] 1463 gold=BENIGN    | 19 claims 13 mal |  9 disagree  3 agree | 16s | ETA 0.0h
INFO   [ 42/ 52] 1499 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 17s | ETA 0.0h
INFO   [ 43/ 52] 1535 gold=BENIGN    | 17 claims  8 mal |  7 disagree  4 agree | 15s | ETA 0.0h
INFO   [ 44/ 52] 1571 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 45/ 52] 1607 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 46/ 52] 1643 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 47/ 52] 1679 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 48/ 52] 1715 gold=MALIGNANT | 19 claims 13 mal |  7 disagree  5 agree | 16s | ETA 0.0h
INFO   [ 49/ 52] 1751 gold=BENIGN    | 18 claims  9 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 50/ 52] 1787 gold=BENIGN    | 19 claims  9 mal |  9 disagree  3 agree | 15s | ETA 0.0h
INFO   [ 51/ 52] 1823 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 15s | ETA 0.0h
INFO   [ 52/ 52] 1859 gold=MALIGNANT | 19 claims  7 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO Done in 13.6 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
