INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=29/36 | 52 samples
INFO   [  1/ 52] 0029 gold=MALIGNANT | 17 claims 12 mal |  9 disagree  0 agree | 35s | ETA 0.5h
INFO   [ 23/ 52] 0821 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 38s | ETA 0.3h
INFO   [ 24/ 52] 0857 gold=MALIGNANT | 20 claims 12 mal |  9 disagree  3 agree | 38s | ETA 0.3h
INFO   [ 25/ 52] 0893 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 39s | ETA 0.3h
INFO   [ 26/ 52] 0929 gold=BENIGN    | 19 claims  7 mal | 10 disagree  2 agree | 38s | ETA 0.3h
INFO   [ 27/ 52] 0965 gold=BENIGN    | 20 claims 15 mal | 11 disagree  1 agree | 38s | ETA 0.3h
INFO   [ 28/ 52] 1001 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 39s | ETA 0.3h
INFO   [ 29/ 52] 1037 gold=MALIGNANT | 20 claims 11 mal | 12 disagree  0 agree | 38s | ETA 0.2h
INFO   [ 30/ 52] 1073 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 38s | ETA 0.2h
INFO   [ 31/ 52] 1109 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 39s | ETA 0.2h
INFO   [ 32/ 52] 1145 gold=BENIGN    | 20 claims 12 mal |  4 disagree  8 agree | 38s | ETA 0.2h
INFO   [ 33/ 52] 1181 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 38s | ETA 0.2h
INFO   [ 34/ 52] 1217 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 38s | ETA 0.2h
INFO   [ 35/ 52] 1253 gold=BENIGN    | 20 claims 14 mal | 10 disagree  2 agree | 39s | ETA 0.2h
INFO   [ 36/ 52] 1289 gold=MALIGNANT | 19 claims  7 mal | 12 disagree  0 agree | 37s | ETA 0.2h
INFO   [ 37/ 52] 1325 gold=BENIGN    | 19 claims 14 mal | 12 disagree  0 agree | 38s | ETA 0.2h
INFO   [ 38/ 52] 1361 gold=BENIGN    | 19 claims  8 mal | 12 disagree  0 agree | 38s | ETA 0.1h
INFO   [ 39/ 52] 1397 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 38s | ETA 0.1h
INFO   [ 40/ 52] 1433 gold=BENIGN    | 20 claims 12 mal |  7 disagree  5 agree | 38s | ETA 0.1h
INFO   [ 41/ 52] 1469 gold=BENIGN    | 19 claims 12 mal |  7 disagree  5 agree | 39s | ETA 0.1h
INFO   [ 42/ 52] 1505 gold=BENIGN    | 20 claims 13 mal | 10 disagree  2 agree | 40s | ETA 0.1h
INFO   [ 43/ 52] 1541 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 38s | ETA 0.1h
INFO   [ 44/ 52] 1577 gold=BENIGN    | 19 claims 11 mal |  9 disagree  3 agree | 39s | ETA 0.1h
INFO   [ 45/ 52] 1613 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 38s | ETA 0.1h
INFO   [ 46/ 52] 1649 gold=MALIGNANT | 20 claims 12 mal | 11 disagree  1 agree | 40s | ETA 0.1h
INFO   [ 47/ 52] 1685 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 39s | ETA 0.1h
INFO   [ 48/ 52] 1721 gold=MALIGNANT | 20 claims  8 mal | 12 disagree  0 agree | 40s | ETA 0.0h
INFO   [ 49/ 52] 1757 gold=MALIGNANT | 19 claims 12 mal | 10 disagree  2 agree | 39s | ETA 0.0h
INFO   [ 50/ 52] 1793 gold=MALIGNANT | 18 claims 10 mal | 10 disagree  2 agree | 38s | ETA 0.0h
INFO   [ 51/ 52] 1829 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 39s | ETA 0.0h
INFO   [ 52/ 52] 1865 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 37s | ETA 0.0h
INFO Done in 33.1 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
