INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=25/36 | 52 samples
INFO   [  1/ 52] 0025 gold=MALIGNANT | 20 claims 15 mal | 12 disagree  0 agree | 226s | ETA 3.2h
INFO   [ 17/ 52] 0601 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 53s | ETA 0.1h
INFO   [ 18/ 52] 0637 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 50s | ETA 0.1h
INFO   [ 19/ 52] 0673 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 52s | ETA 0.1h
INFO   [ 20/ 52] 0709 gold=BENIGN    | 20 claims 14 mal |  9 disagree  3 agree | 51s | ETA 0.1h
INFO   [ 21/ 52] 0745 gold=BENIGN    | 19 claims 14 mal |  7 disagree  5 agree | 51s | ETA 0.1h
INFO   [ 22/ 52] 0781 gold=BENIGN    | 20 claims 11 mal |  9 disagree  3 agree | 52s | ETA 0.1h
INFO   [ 23/ 52] 0817 gold=MALIGNANT | 19 claims 16 mal |  4 disagree  8 agree | 53s | ETA 0.1h
INFO   [ 24/ 52] 0853 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 52s | ETA 0.1h
INFO   [ 25/ 52] 0889 gold=BENIGN    | 19 claims 15 mal |  8 disagree  4 agree | 51s | ETA 0.2h
INFO   [ 26/ 52] 0925 gold=BENIGN    | 19 claims  9 mal | 11 disagree  1 agree | 52s | ETA 0.2h
INFO   [ 27/ 52] 0961 gold=MALIGNANT | 19 claims  8 mal | 12 disagree  0 agree | 51s | ETA 0.2h
INFO   [ 28/ 52] 0997 gold=BENIGN    | 20 claims 18 mal |  4 disagree  8 agree | 52s | ETA 0.2h
INFO   [ 29/ 52] 1033 gold=BENIGN    | 18 claims  9 mal | 10 disagree  2 agree | 50s | ETA 0.2h
INFO   [ 30/ 52] 1069 gold=MALIGNANT | 20 claims 12 mal | 11 disagree  1 agree | 53s | ETA 0.2h
INFO   [ 31/ 52] 1105 gold=MALIGNANT | 20 claims 16 mal |  8 disagree  4 agree | 55s | ETA 0.2h
INFO   [ 32/ 52] 1141 gold=BENIGN    | 20 claims 15 mal | 11 disagree  1 agree | 54s | ETA 0.2h
INFO   [ 33/ 52] 1177 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 51s | ETA 0.1h
INFO   [ 34/ 52] 1213 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 51s | ETA 0.1h
INFO   [ 35/ 52] 1249 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 50s | ETA 0.1h
INFO   [ 36/ 52] 1285 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 51s | ETA 0.1h
INFO   [ 37/ 52] 1321 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 51s | ETA 0.1h
INFO   [ 38/ 52] 1357 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 51s | ETA 0.1h
INFO   [ 39/ 52] 1393 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 53s | ETA 0.1h
INFO   [ 40/ 52] 1429 gold=MALIGNANT | 20 claims  8 mal | 12 disagree  0 agree | 55s | ETA 0.1h
INFO   [ 41/ 52] 1465 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 52s | ETA 0.1h
INFO   [ 42/ 52] 1501 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 52s | ETA 0.1h
INFO   [ 43/ 52] 1537 gold=BENIGN    | 19 claims  6 mal | 10 disagree  2 agree | 51s | ETA 0.1h
INFO   [ 44/ 52] 1573 gold=BENIGN    | 18 claims  6 mal | 12 disagree  0 agree | 50s | ETA 0.1h
INFO   [ 45/ 52] 1609 gold=BENIGN    | 17 claims 12 mal | 10 disagree  0 agree | 51s | ETA 0.1h
INFO   [ 46/ 52] 1645 gold=MALIGNANT | 19 claims 13 mal |  8 disagree  4 agree | 49s | ETA 0.1h
INFO   [ 47/ 52] 1681 gold=BENIGN    | 19 claims 14 mal |  8 disagree  4 agree | 54s | ETA 0.0h
INFO   [ 48/ 52] 1717 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 53s | ETA 0.0h
INFO   [ 49/ 52] 1753 gold=MALIGNANT | 20 claims  4 mal |  7 disagree  5 agree | 52s | ETA 0.0h
INFO   [ 50/ 52] 1789 gold=BENIGN    | 20 claims 16 mal | 10 disagree  2 agree | 54s | ETA 0.0h
INFO   [ 51/ 52] 1825 gold=MALIGNANT | 19 claims  8 mal | 11 disagree  1 agree | 50s | ETA 0.0h
INFO   [ 52/ 52] 1861 gold=MALIGNANT | 20 claims 10 mal | 11 disagree  1 agree | 51s | ETA 0.0h
INFO Done in 31.8 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
