INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=16/36 | 52 samples
INFO   [  1/ 52] 0016 gold=MALIGNANT | 19 claims 13 mal | 10 disagree  2 agree | 37s | ETA 0.5h
INFO   [ 20/ 52] 0700 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 39s | ETA 0.4h
INFO   [ 21/ 52] 0736 gold=BENIGN    | 19 claims 12 mal | 11 disagree  1 agree | 38s | ETA 0.3h
INFO   [ 22/ 52] 0772 gold=BENIGN    | 20 claims 11 mal | 10 disagree  2 agree | 38s | ETA 0.3h
INFO   [ 23/ 52] 0808 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 39s | ETA 0.3h
INFO   [ 24/ 52] 0844 gold=MALIGNANT | 19 claims 11 mal | 10 disagree  2 agree | 38s | ETA 0.3h
INFO   [ 25/ 52] 0880 gold=BENIGN    | 18 claims  9 mal | 12 disagree  0 agree | 38s | ETA 0.3h
INFO   [ 26/ 52] 0916 gold=MALIGNANT | 20 claims 12 mal | 12 disagree  0 agree | 38s | ETA 0.3h
INFO   [ 27/ 52] 0952 gold=BENIGN    | 19 claims 10 mal | 11 disagree  1 agree | 37s | ETA 0.3h
INFO   [ 28/ 52] 0988 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 39s | ETA 0.3h
INFO   [ 29/ 52] 1024 gold=BENIGN    | 19 claims 10 mal | 11 disagree  1 agree | 38s | ETA 0.3h
INFO   [ 30/ 52] 1060 gold=BENIGN    | 20 claims  6 mal | 11 disagree  1 agree | 39s | ETA 0.2h
INFO   [ 31/ 52] 1096 gold=MALIGNANT | 19 claims  8 mal |  9 disagree  3 agree | 39s | ETA 0.2h
INFO   [ 32/ 52] 1132 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 38s | ETA 0.2h
INFO   [ 33/ 52] 1168 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 39s | ETA 0.2h
INFO   [ 34/ 52] 1204 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 41s | ETA 0.2h
INFO   [ 35/ 52] 1240 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 39s | ETA 0.2h
INFO   [ 36/ 52] 1276 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 40s | ETA 0.2h
INFO   [ 37/ 52] 1312 gold=BENIGN    | 18 claims  9 mal | 12 disagree  0 agree | 37s | ETA 0.2h
INFO   [ 38/ 52] 1348 gold=BENIGN    | 19 claims 13 mal | 10 disagree  2 agree | 38s | ETA 0.2h
INFO   [ 39/ 52] 1384 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 39s | ETA 0.1h
INFO   [ 40/ 52] 1420 gold=BENIGN    | 20 claims 11 mal |  8 disagree  4 agree | 39s | ETA 0.1h
INFO   [ 41/ 52] 1456 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 39s | ETA 0.1h
INFO   [ 42/ 52] 1492 gold=MALIGNANT | 20 claims  7 mal |  6 disagree  6 agree | 39s | ETA 0.1h
INFO   [ 43/ 52] 1528 gold=BENIGN    | 20 claims 14 mal | 10 disagree  2 agree | 39s | ETA 0.1h
INFO   [ 44/ 52] 1564 gold=MALIGNANT | 20 claims  9 mal | 10 disagree  2 agree | 39s | ETA 0.1h
INFO   [ 45/ 52] 1600 gold=BENIGN    | 19 claims  8 mal | 12 disagree  0 agree | 37s | ETA 0.1h
INFO   [ 46/ 52] 1636 gold=MALIGNANT | 19 claims  9 mal |  9 disagree  3 agree | 39s | ETA 0.1h
INFO   [ 47/ 52] 1672 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 40s | ETA 0.1h
INFO   [ 48/ 52] 1708 gold=MALIGNANT | 19 claims  6 mal | 12 disagree  0 agree | 39s | ETA 0.0h
INFO   [ 49/ 52] 1744 gold=BENIGN    | 19 claims 10 mal | 11 disagree  1 agree | 38s | ETA 0.0h
INFO   [ 50/ 52] 1780 gold=MALIGNANT | 20 claims 11 mal | 10 disagree  2 agree | 38s | ETA 0.0h
INFO   [ 51/ 52] 1816 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 38s | ETA 0.0h
INFO   [ 52/ 52] 1852 gold=BENIGN    | 20 claims 15 mal | 12 disagree  0 agree | 39s | ETA 0.0h
INFO Done in 34.0 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
