INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=26/36 | 52 samples
INFO   [  1/ 52] 0026 gold=MALIGNANT | 18 claims  7 mal |  9 disagree  3 agree | 221s | ETA 3.1h
INFO   [ 24/ 52] 0854 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 51s | ETA 0.2h
INFO   [ 25/ 52] 0890 gold=BENIGN    | 20 claims 16 mal |  9 disagree  3 agree | 51s | ETA 0.2h
INFO   [ 26/ 52] 0926 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 51s | ETA 0.2h
INFO   [ 27/ 52] 0962 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 51s | ETA 0.2h
INFO   [ 28/ 52] 0998 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 52s | ETA 0.2h
INFO   [ 29/ 52] 1034 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 50s | ETA 0.2h
INFO   [ 30/ 52] 1070 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 53s | ETA 0.2h
INFO   [ 31/ 52] 1106 gold=BENIGN    | 20 claims 12 mal | 11 disagree  1 agree | 55s | ETA 0.2h
INFO   [ 32/ 52] 1142 gold=BENIGN    | 20 claims  9 mal |  8 disagree  4 agree | 54s | ETA 0.2h
INFO   [ 33/ 52] 1178 gold=MALIGNANT | 20 claims  7 mal |  8 disagree  4 agree | 51s | ETA 0.1h
INFO   [ 34/ 52] 1214 gold=BENIGN    | 19 claims 15 mal |  8 disagree  4 agree | 51s | ETA 0.1h
INFO   [ 35/ 52] 1250 gold=BENIGN    | 19 claims 10 mal | 11 disagree  1 agree | 50s | ETA 0.1h
INFO   [ 36/ 52] 1286 gold=MALIGNANT | 20 claims 11 mal | 12 disagree  0 agree | 51s | ETA 0.1h
INFO   [ 37/ 52] 1322 gold=BENIGN    | 20 claims  6 mal | 10 disagree  2 agree | 51s | ETA 0.1h
INFO   [ 38/ 52] 1358 gold=BENIGN    | 19 claims  7 mal | 12 disagree  0 agree | 51s | ETA 0.1h
INFO   [ 39/ 52] 1394 gold=BENIGN    | 19 claims  8 mal | 11 disagree  1 agree | 52s | ETA 0.1h
INFO   [ 40/ 52] 1430 gold=MALIGNANT | 20 claims 15 mal |  7 disagree  5 agree | 55s | ETA 0.1h
INFO   [ 41/ 52] 1466 gold=BENIGN    | 19 claims  6 mal | 12 disagree  0 agree | 51s | ETA 0.1h
INFO   [ 42/ 52] 1502 gold=BENIGN    | 20 claims 14 mal |  9 disagree  3 agree | 52s | ETA 0.1h
INFO   [ 43/ 52] 1538 gold=BENIGN    | 19 claims 12 mal | 11 disagree  1 agree | 51s | ETA 0.1h
INFO   [ 44/ 52] 1574 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 50s | ETA 0.1h
INFO   [ 45/ 52] 1610 gold=BENIGN    | 20 claims  8 mal | 11 disagree  1 agree | 51s | ETA 0.1h
INFO   [ 46/ 52] 1646 gold=MALIGNANT | 18 claims 14 mal |  6 disagree  6 agree | 49s | ETA 0.1h
INFO   [ 47/ 52] 1682 gold=BENIGN    | 20 claims  9 mal |  8 disagree  4 agree | 55s | ETA 0.0h
INFO   [ 48/ 52] 1718 gold=MALIGNANT | 20 claims 16 mal | 11 disagree  1 agree | 52s | ETA 0.0h
INFO   [ 49/ 52] 1754 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 52s | ETA 0.0h
INFO   [ 50/ 52] 1790 gold=BENIGN    | 16 claims  7 mal |  7 disagree  1 agree | 53s | ETA 0.0h
INFO   [ 51/ 52] 1826 gold=MALIGNANT | 19 claims 12 mal | 12 disagree  0 agree | 50s | ETA 0.0h
INFO   [ 52/ 52] 1862 gold=BENIGN    | 19 claims  8 mal | 11 disagree  1 agree | 51s | ETA 0.0h
INFO Done in 31.9 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
