INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=27/36 | 52 samples
INFO   [  1/ 52] 0027 gold=MALIGNANT | 19 claims 14 mal | 11 disagree  1 agree | 13s | ETA 0.2h
INFO   [ 23/ 52] 0819 gold=BENIGN    | 20 claims 12 mal | 11 disagree  1 agree | 17s | ETA 0.1h
INFO   [ 24/ 52] 0855 gold=BENIGN    | 19 claims 10 mal |  6 disagree  6 agree | 16s | ETA 0.1h
INFO   [ 25/ 52] 0891 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 26/ 52] 0927 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 27/ 52] 0963 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 28/ 52] 0999 gold=BENIGN    | 17 claims 12 mal |  8 disagree  2 agree | 15s | ETA 0.1h
INFO   [ 29/ 52] 1035 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 30/ 52] 1071 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 17s | ETA 0.1h
INFO   [ 31/ 52] 1107 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 32/ 52] 1143 gold=BENIGN    | 20 claims  8 mal | 11 disagree  1 agree | 17s | ETA 0.1h
INFO   [ 33/ 52] 1179 gold=MALIGNANT | 19 claims 12 mal | 11 disagree  1 agree | 15s | ETA 0.1h
INFO   [ 34/ 52] 1215 gold=BENIGN    | 20 claims 14 mal | 11 disagree  1 agree | 17s | ETA 0.1h
INFO   [ 35/ 52] 1251 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 17s | ETA 0.1h
INFO   [ 36/ 52] 1287 gold=MALIGNANT | 20 claims 14 mal |  9 disagree  3 agree | 15s | ETA 0.1h
INFO   [ 37/ 52] 1323 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 17s | ETA 0.1h
INFO   [ 38/ 52] 1359 gold=BENIGN    | 19 claims  8 mal | 11 disagree  1 agree | 15s | ETA 0.1h
INFO   [ 39/ 52] 1395 gold=BENIGN    | 19 claims  8 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 40/ 52] 1431 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 41/ 52] 1467 gold=BENIGN    | 20 claims  6 mal |  9 disagree  3 agree | 16s | ETA 0.0h
INFO   [ 42/ 52] 1503 gold=BENIGN    | 19 claims 11 mal | 11 disagree  1 agree | 16s | ETA 0.0h
INFO   [ 43/ 52] 1539 gold=BENIGN    | 20 claims  4 mal |  6 disagree  6 agree | 15s | ETA 0.0h
INFO   [ 44/ 52] 1575 gold=BENIGN    | 19 claims 12 mal | 11 disagree  1 agree | 16s | ETA 0.0h
INFO   [ 45/ 52] 1611 gold=BENIGN    | 18 claims  9 mal | 12 disagree  0 agree | 15s | ETA 0.0h
INFO   [ 46/ 52] 1647 gold=MALIGNANT | 20 claims  8 mal | 10 disagree  2 agree | 17s | ETA 0.0h
INFO   [ 47/ 52] 1683 gold=BENIGN    | 20 claims  9 mal |  9 disagree  3 agree | 16s | ETA 0.0h
INFO   [ 48/ 52] 1719 gold=MALIGNANT | 19 claims  9 mal | 12 disagree  0 agree | 15s | ETA 0.0h
INFO   [ 49/ 52] 1755 gold=BENIGN    | 15 claims  5 mal |  8 disagree  0 agree | 14s | ETA 0.0h
INFO   [ 50/ 52] 1791 gold=MALIGNANT | 19 claims 11 mal | 12 disagree  0 agree | 15s | ETA 0.0h
INFO   [ 51/ 52] 1827 gold=MALIGNANT | 19 claims 13 mal |  7 disagree  5 agree | 16s | ETA 0.0h
INFO   [ 52/ 52] 1863 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO Done in 13.6 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
