INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=5/36 | 52 samples
INFO   [  1/ 52] 0005 gold=MALIGNANT | 19 claims 12 mal | 12 disagree  0 agree | 54s | ETA 0.8h
INFO   [ 16/ 52] 0545 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 63s | ETA 0.6h
INFO   [ 17/ 52] 0581 gold=MALIGNANT | 20 claims 12 mal | 11 disagree  1 agree | 61s | ETA 0.6h
INFO   [ 18/ 52] 0617 gold=MALIGNANT | 19 claims  6 mal | 12 disagree  0 agree | 60s | ETA 0.6h
INFO   [ 19/ 52] 0653 gold=MALIGNANT | 20 claims 11 mal |  9 disagree  3 agree | 61s | ETA 0.5h
INFO   [ 20/ 52] 0689 gold=MALIGNANT | 20 claims  7 mal | 12 disagree  0 agree | 61s | ETA 0.5h
INFO   [ 21/ 52] 0725 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 65s | ETA 0.5h
INFO   [ 22/ 52] 0761 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 64s | ETA 0.5h
INFO   [ 23/ 52] 0797 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 61s | ETA 0.5h
INFO   [ 24/ 52] 0833 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 63s | ETA 0.5h
INFO   [ 25/ 52] 0869 gold=BENIGN    | 20 claims 11 mal |  9 disagree  3 agree | 63s | ETA 0.5h
INFO   [ 26/ 52] 0905 gold=BENIGN    | 20 claims 13 mal |  7 disagree  5 agree | 61s | ETA 0.4h
INFO   [ 27/ 52] 0941 gold=BENIGN    | 20 claims  9 mal |  9 disagree  3 agree | 65s | ETA 0.4h
INFO   [ 28/ 52] 0977 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 61s | ETA 0.4h
INFO   [ 29/ 52] 1013 gold=MALIGNANT | 18 claims 11 mal | 10 disagree  0 agree | 61s | ETA 0.4h
INFO   [ 30/ 52] 1049 gold=BENIGN    | 19 claims  7 mal | 12 disagree  0 agree | 64s | ETA 0.4h
INFO   [ 31/ 52] 1085 gold=MALIGNANT | 19 claims 11 mal | 11 disagree  1 agree | 62s | ETA 0.4h
INFO   [ 32/ 52] 1121 gold=BENIGN    | 20 claims  8 mal | 10 disagree  2 agree | 61s | ETA 0.3h
INFO   [ 33/ 52] 1157 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 63s | ETA 0.3h
INFO   [ 34/ 52] 1193 gold=BENIGN    | 17 claims 12 mal |  8 disagree  1 agree | 62s | ETA 0.3h
INFO   [ 35/ 52] 1229 gold=BENIGN    | 20 claims  7 mal | 11 disagree  1 agree | 60s | ETA 0.3h
INFO   [ 36/ 52] 1265 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 62s | ETA 0.3h
INFO   [ 37/ 52] 1301 gold=MALIGNANT | 20 claims 13 mal | 10 disagree  2 agree | 64s | ETA 0.3h
INFO   [ 38/ 52] 1337 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 62s | ETA 0.2h
INFO   [ 39/ 52] 1373 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 60s | ETA 0.2h
INFO   [ 40/ 52] 1409 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 62s | ETA 0.2h
INFO   [ 41/ 52] 1445 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 61s | ETA 0.2h
INFO   [ 42/ 52] 1481 gold=MALIGNANT | 19 claims 13 mal | 12 disagree  0 agree | 62s | ETA 0.2h
INFO   [ 43/ 52] 1517 gold=BENIGN    | 20 claims 15 mal | 11 disagree  1 agree | 63s | ETA 0.2h
INFO   [ 44/ 52] 1553 gold=BENIGN    | 19 claims 13 mal | 10 disagree  2 agree | 60s | ETA 0.1h
INFO   [ 45/ 52] 1589 gold=BENIGN    | 20 claims  6 mal | 11 disagree  1 agree | 63s | ETA 0.1h
INFO   [ 46/ 52] 1625 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 63s | ETA 0.1h
INFO   [ 47/ 52] 1661 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 59s | ETA 0.1h
INFO   [ 48/ 52] 1697 gold=MALIGNANT | 20 claims 13 mal | 10 disagree  2 agree | 62s | ETA 0.1h
INFO   [ 49/ 52] 1733 gold=BENIGN    | 20 claims  6 mal |  9 disagree  3 agree | 61s | ETA 0.1h
INFO   [ 50/ 52] 1769 gold=BENIGN    | 19 claims 14 mal |  7 disagree  5 agree | 63s | ETA 0.0h
INFO   [ 51/ 52] 1805 gold=BENIGN    | 19 claims 11 mal |  9 disagree  3 agree | 61s | ETA 0.0h
INFO   [ 52/ 52] 1841 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 62s | ETA 0.0h
INFO Done in 53.0 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
